ID;Name;Weight;Mean;StdDev;Direction;Threshold
5;RSI-M5;0.08157786519196762;50.17049018;11.44414753;-1;0.8105264293098706
21;CCI-M5;0.0500844623248294;1.07177207;106.43556812;-1;0.8105264293098706
33;WPR-M5;0.048925534931794454;-49.18569056;30.02890035;-1;0.8105264293098706
49;DeM-M5;0.04228917858226467;0.49868291;0.19855905;-1;0.8105264293098706
85;OsMA-M5;0.041181164917862056;-0.0;0.00012556;-1;0.8105264293098706
101;TrendFilter200-M5;0.10096283314133281;1.259e-05;0.00214963;-1;0.8105264293098706
93;Trend_200-M5;0.10048545400588418;0.00109355;0.19672443;-1;0.8105264293098706
13;MACD-M5;0.07243008441316118;8.8e-07;0.00035238;-1;0.8105264293098706
100;TrendFilter200-M30;0.06958293152741202;7.759e-05;0.00519382;1;0.8105264293098706
41;MADist-M5;0.06374017419783913;0.0001141;0.07113678;-1;0.8105264293098706
69;AD-M5;0.09374116186765566;27658.00239764;72625.24096235;-1;0.8105264293098706
36;ATR-M30;0.07228392524543827;0.00101;0.00052404;1;0.8105264293098706
37;ATR-M5;0.06024126831128226;0.00039341;0.00024864;-1;0.8105264293098706
45;BBW-M5;0.051677103857789196;0.00158198;0.00138218;1;0.8105264293098706
77;StdDev-M5;0.05079685748348707;0.00043616;0.00037284;1;0.8105264293098706
